tanggal,region,demand_actual,supply_actual
2026-05-01,SOR 1 - Sumatera Bagian Utara,332.42,337.23
2026-05-02,SOR 1 - Sumatera Bagian Utara,310.88,343.56
2026-05-03,SOR 1 - Sumatera Bagian Utara,289.12,308.72
2026-05-04,SOR 1 - Sumatera Bagian Utara,360.41,356.34
2026-05-05,SOR 1 - Sumatera Bagian Utara,309.5,352.17
2026-05-06,SOR 1 - Sumatera Bagian Utara,309.96,332.33
2026-05-07,SOR 1 - Sumatera Bagian Utara,327.91,303.71
2026-05-08,SOR 1 - Sumatera Bagian Utara,279.04,331.06
2026-05-09,SOR 1 - Sumatera Bagian Utara,271.36,321.51
2026-05-10,SOR 1 - Sumatera Bagian Utara,274.26,287.28
2026-05-11,SOR 1 - Sumatera Bagian Utara,359.74,338.77
2026-05-12,SOR 1 - Sumatera Bagian Utara,325.09,315.12
2026-05-13,SOR 1 - Sumatera Bagian Utara,310.11,346.17
2026-05-14,SOR 1 - Sumatera Bagian Utara,295.25,351.79
2026-05-15,SOR 1 - Sumatera Bagian Utara,309.32,338.77
2026-05-16,SOR 1 - Sumatera Bagian Utara,283.63,354.39
2026-05-17,SOR 1 - Sumatera Bagian Utara,298.62,296.49
2026-05-18,SOR 1 - Sumatera Bagian Utara,345.83,321.18
2026-05-19,SOR 1 - Sumatera Bagian Utara,330.8,306.73
2026-05-20,SOR 1 - Sumatera Bagian Utara,292.68,350.19
2026-05-21,SOR 1 - Sumatera Bagian Utara,344.66,350.01
2026-05-22,SOR 1 - Sumatera Bagian Utara,323.61,340.89
2026-05-23,SOR 1 - Sumatera Bagian Utara,263.7,305.06
2026-05-24,SOR 1 - Sumatera Bagian Utara,289.44,340.9
2026-05-25,SOR 1 - Sumatera Bagian Utara,336.02,312.64
2026-05-26,SOR 1 - Sumatera Bagian Utara,335.84,340.52
2026-05-27,SOR 1 - Sumatera Bagian Utara,311.13,360.79
2026-05-28,SOR 1 - Sumatera Bagian Utara,354.14,367.51
2026-05-29,SOR 1 - Sumatera Bagian Utara,307.69,343.03
2026-05-30,SOR 1 - Sumatera Bagian Utara,310.94,341.09
2026-05-31,SOR 1 - Sumatera Bagian Utara,290.97,318.17
2026-05-01,SOR 2 - Sumatera Bagian Selatan,257.87,275.86
2026-05-02,SOR 2 - Sumatera Bagian Selatan,274.1,293.36
2026-05-03,SOR 2 - Sumatera Bagian Selatan,256.66,287.98
2026-05-04,SOR 2 - Sumatera Bagian Selatan,288.05,285.53
2026-05-05,SOR 2 - Sumatera Bagian Selatan,288.31,320.75
2026-05-06,SOR 2 - Sumatera Bagian Selatan,280.64,321.46
2026-05-07,SOR 2 - Sumatera Bagian Selatan,229.23,309.86
2026-05-08,SOR 2 - Sumatera Bagian Selatan,283.64,292.21
2026-05-09,SOR 2 - Sumatera Bagian Selatan,261.43,241.7
2026-05-10,SOR 2 - Sumatera Bagian Selatan,255.45,279.48
2026-05-11,SOR 2 - Sumatera Bagian Selatan,312.27,289.56
2026-05-12,SOR 2 - Sumatera Bagian Selatan,266.81,290.11
2026-05-13,SOR 2 - Sumatera Bagian Selatan,301.56,303.69
2026-05-14,SOR 2 - Sumatera Bagian Selatan,272.93,306.92
2026-05-15,SOR 2 - Sumatera Bagian Selatan,285.74,314.5
2026-05-16,SOR 2 - Sumatera Bagian Selatan,247.3,270.1
2026-05-17,SOR 2 - Sumatera Bagian Selatan,253.75,252.19
2026-05-18,SOR 2 - Sumatera Bagian Selatan,290.53,304.03
2026-05-19,SOR 2 - Sumatera Bagian Selatan,284.98,296.39
2026-05-20,SOR 2 - Sumatera Bagian Selatan,256.84,293.69
2026-05-21,SOR 2 - Sumatera Bagian Selatan,278.57,287.87
2026-05-22,SOR 2 - Sumatera Bagian Selatan,282.46,307.46
2026-05-23,SOR 2 - Sumatera Bagian Selatan,300.81,279.97
2026-05-24,SOR 2 - Sumatera Bagian Selatan,268.48,276.25
2026-05-25,SOR 2 - Sumatera Bagian Selatan,248.13,301.43
2026-05-26,SOR 2 - Sumatera Bagian Selatan,287.98,341.55
